make-id,normalized-losses,num-of-doors,body-style,curb-weight,num-of-cylinders,horsepower,city-mpg,highway-mpg,price,,,,,,,
1,,two,convertible,2548,four,111,21,27,13495,,,,,,,
1,,two,hatchback,-2823,six,154,19,26,16500,,,,,,,
2,164,four,sedan,2337,four,102,9999,9999,13950,,,make-id,make,….,price,
2,164,four,sedan,2824,?,115,18,22,17450,,,1,alfa-romero  ,…,13495,
2,,two,sedan,2507,?,110,19,25,15250,,,1,alfa-romero  ,…,16500,
2,158,four,sedan,2844,?,110,19,25,17710,,,2,audi  ,…,13950,
2,,four,wagon,2954,five,110,19,25,18920,,,2,audi  ,…,17450,
2,158,four,sedan,3086,five,NaN,17,20,23875,,,2,audi  ,…,15250,
2,,two,hachback,3053,five,160,16,22,,,,…,…,…,…,
3,192,two,sedan,2395,four,101,23,29,16430,,,,,,,
3,192,four,sedan,2395,four,NaN,23,29,16925,,,,,,,
3,188,two,sedan,2710,six,121,21,28,20970,,,,,,,
3,188,two,sedan,2710,six,121,21,28,20970,,,,,,,
3,188,four,sedan,2765,six,121,21,28,21105,,,,,,,
3,,four,sedan,3230,six,182,16,22,30760,,,,,,,
3,,two,sedan,3380,six,NaN,16,22,41315,,,,,,,
3,,four,sedan,3505,six,182,15,20,36880,,,,,,,
4,121,two,hatchback,1488,three,48,47,53,5151,,,,,,,
